	competition	competition_rep	time	population	sample_rep	dilution	pop_size	density	Unnamed: 8
81	2B-1	2	0	rfp	2	-1			
82	2B-1	2	0	rfp	3	0	894160.0	894160.0	
83	2B-1	2	0	rfp	3	-1	1029400.0	1029400.0	
84	2B-1	2	0	gfp-rfp	1	0	10660.0	10660.0	
85	2B-1	2	0	gfp-rfp	1	-1			
86	2B-1	2	0	gfp-rfp	2	0	10840.0	10840.0	
87	2B-1	2	0	gfp-rfp	2	-1			
88	2B-1	2	0	gfp-rfp	3	0	13140.0	13140.0	
89	2B-1	2	0	gfp-rfp	3	-1	2000.0	2000.0	
90	2B-1	2	0	total	1	0	2285920.0	2285920.0	
91	2B-1	2	0	total	1	-1			
92	2B-1	2	0	total	2	0	2361640.0	2361640.0	
93	2B-1	2	0	total	2	-1			
94	2B-1	2	0	total	3	0	2467120.0	2467120.0	
95	2B-1	2	0	total	3	-1	2791600.0	2791600.0	
96	2B-2	2	0	gfp	1	0	680280.0	680280.0	
97	2B-2	2	0	gfp	1	-1			
98	2B-2	2	0	gfp	2	0	736520.0	736520.0	
99	2B-2	2	0	gfp	2	-1			
100	2B-2	2	0	gfp	3	0	737420.0	737420.0	
101	2B-2	2	0	gfp	3	-1	773400.0	773400.0	
102	2B-2	2	0	rfp	1	0	1260760.0	1260760.0	
103	2B-2	2	0	rfp	1	-1			
104	2B-2	2	0	rfp	2	0	1338520.0	1338520.0	
105	2B-2	2	0	rfp	2	-1			
106	2B-2	2	0	rfp	3	0	1355780.0	1355780.0	
107	2B-2	2	0	rfp	3	-1	1499800.0	1499800.0	
108	2B-2	2	0	gfp-rfp	1	0	6940.0	6940.0	
109	2B-2	2	0	gfp-rfp	1	-1			
110	2B-2	2	0	gfp-rfp	2	0	8860.0	8860.0	
111	2B-2	2	0	gfp-rfp	2	-1			
112	2B-2	2	0	gfp-rfp	3	0	9960.0	9960.0	
113	2B-2	2	0	gfp-rfp	3	-1	1200.0	1200.0	
114	2B-2	2	0	total	1	0	1954920.0	1954920.0	
115	2B-2	2	0	total	1	-1			
116	2B-2	2	0	total	2	0	2092760.0	2092760.0	
117	2B-2	2	0	total	2	-1			
118	2B-2	2	0	total	3	0	2113120.0	2113120.0	
119	2B-2	2	0	total	3	-1	2275600.0	2275600.0	
120	2B-3	2	0	gfp	1	0	344960.0	344960.0	
121	2B-3	2	0	gfp	1	-1			
122	2B-3	2	0	gfp	2	0	351160.0	351160.0	
123	2B-3	2	0	gfp	2	-1			
124	2B-3	2	0	gfp	3	0	382740.0	382740.0	
125	2B-3	2	0	gfp	3	-1	408600.0	408600.0	
126	2B-3	2	0	rfp	1	0	1500760.0	1500760.0	
127	2B-3	2	0	rfp	1	-1			
128	2B-3	2	0	rfp	2	0	1543980.0	1543980.0	
129	2B-3	2	0	rfp	2	-1			
130	2B-3	2	0	rfp	3	0	1612640.0	1612640.0	
131	2B-3	2	0	rfp	3	-1	1737000.0	1737000.0	
132	2B-3	2	0	gfp-rfp	1	0	4120.0	4120.0	
133	2B-3	2	0	gfp-rfp	1	-1			
134	2B-3	2	0	gfp-rfp	2	0	4720.0	4720.0	
135	2B-3	2	0	gfp-rfp	2	-1			
136	2B-3	2	0	gfp-rfp	3	0	5420.0	5420.0	
137	2B-3	2	0	gfp-rfp	3	-1	200.0	200.0	
138	2B-3	2	0	total	1	0	1853960.0	1853960.0	
139	2B-3	2	0	total	1	-1			
140	2B-3	2	0	total	2	0	1904580.0	1904580.0	
141	2B-3	2	0	total	2	-1			
142	2B-3	2	0	total	3	0	2006220.0	2006220.0	
143	2B-3	2	0	total	3	-1	2146000.0	2146000.0	
144	2C-1	2	0	gfp	1	0	1193380.0	1193380.0	
145	2C-1	2	0	gfp	1	-1			
146	2C-1	2	0	gfp	2	0	1473740.0	1473740.0	
147	2C-1	2	0	gfp	2	-1			
148	2C-1	2	0	gfp	3	0	1558600.0	1558600.0	
149	2C-1	2	0	gfp	3	-1	1535400.0	1535400.0	
150	2C-1	2	0	rfp	1	0	561300.0	561300.0	
151	2C-1	2	0	rfp	1	-1			
152	2C-1	2	0	rfp	2	0	479940.0	479940.0	
153	2C-1	2	0	rfp	2	-1			
154	2C-1	2	0	rfp	3	0	476600.0	476600.0	
155	2C-1	2	0	rfp	3	-1	473000.0	473000.0	
156	2C-1	2	0	gfp-rfp	1	0	5820.0	5820.0	
157	2C-1	2	0	gfp-rfp	1	-1			
158	2C-1	2	0	gfp-rfp	2	0	6280.0	6280.0	
159	2C-1	2	0	gfp-rfp	2	-1			
160	2C-1	2	0	gfp-rfp	3	0	6760.0	6760.0	
161	2C-1	2	0	gfp-rfp	3	-1	800.0	800.0	
162	2C-1	2	0	total	1	0	1766320.0	1766320.0	
163	2C-1	2	0	total	1	-1			
164	2C-1	2	0	total	2	0	1966240.0	1966240.0	
165	2C-1	2	0	total	2	-1			
166	2C-1	2	0	total	3	0	2048720.0	2048720.0	
167	2C-1	2	0	total	3	-1	2010000.0	2010000.0	
168	2C-2	2	0	gfp	1	0	842880.0	842880.0	
169	2C-2	2	0	gfp	1	-1			
170	2C-2	2	0	gfp	2	0	904600.0	904600.0	
171	2C-2	2	0	gfp	2	-1			
172	2C-2	2	0	gfp	3	0	940540.0	940540.0	
173	2C-2	2	0	gfp	3	-1	968800.0	968800.0	
174	2C-2	2	0	rfp	1	0	785160.0	785160.0	
175	2C-2	2	0	rfp	1	-1			
176	2C-2	2	0	rfp	2	0	807760.0	807760.0	
177	2C-2	2	0	rfp	2	-1			
178	2C-2	2	0	rfp	3	0	820740.0	820740.0	
179	2C-2	2	0	rfp	3	-1	903600.0	903600.0	
180	2C-2	2	0	gfp-rfp	1	0	5400.0	5400.0	
181	2C-2	2	0	gfp-rfp	1	-1			
182	2C-2	2	0	gfp-rfp	2	0	5920.0	5920.0	
183	2C-2	2	0	gfp-rfp	2	-1			
184	2C-2	2	0	gfp-rfp	3	0	6000.0	6000.0	
185	2C-2	2	0	gfp-rfp	3	-1	800.0	800.0	
186	2C-2	2	0	total	1	0	1638840.0	1638840.0	
187	2C-2	2	0	total	1	-1			
188	2C-2	2	0	total	2	0	1724200.0	1724200.0	
189	2C-2	2	0	total	2	-1			
190	2C-2	2	0	total	3	0	1773280.0	1773280.0	
191	2C-2	2	0	total	3	-1	1874000.0	1874000.0	
192	2C-3	2	0	gfp	1	0	328240.0	328240.0	
193	2C-3	2	0	gfp	1	-1			
194	2C-3	2	0	gfp	2	0	357860.0	357860.0	
195	2C-3	2	0	gfp	2	-1			
196	2C-3	2	0	gfp	3	0	367420.0	367420.0	
197	2C-3	2	0	gfp	3	-1	408400.0	408400.0	
198	2C-3	2	0	rfp	1	0	804560.0	804560.0	
199	2C-3	2	0	rfp	1	-1			
200	2C-3	2	0	rfp	2	0	834660.0	834660.0	
201	2C-3	2	0	rfp	2	-1			
202	2C-3	2	0	rfp	3	0	818200.0	818200.0	
203	2C-3	2	0	rfp	3	-1	904200.0	904200.0	
204	2C-3	2	0	gfp-rfp	1	0	1880.0	1880.0	
205	2C-3	2	0	gfp-rfp	1	-1			
206	2C-3	2	0	gfp-rfp	2	0	2840.0	2840.0	
207	2C-3	2	0	gfp-rfp	2	-1			
208	2C-3	2	0	gfp-rfp	3	0	2240.0	2240.0	
209	2C-3	2	0	gfp-rfp	3	-1	400.0	400.0	
210	2C-3	2	0	total	1	0	1136560.0	1136560.0	
211	2C-3	2	0	total	1	-1			
212	2C-3	2	0	total	2	0	1198200.0	1198200.0	
213	2C-3	2	0	total	2	-1			
214	2C-3	2	0	total	3	0	1190100.0	1190100.0	
215	2C-3	2	0	total	3	-1	1313400.0	1313400.0	
216	4D-2	2	0	gfp	1	0	764020.0	764020.0	
217	4D-2	2	0	gfp	1	-1			
218	4D-2	2	0	gfp	2	0	856940.0	856940.0	
219	4D-2	2	0	gfp	2	-1			
220	4D-2	2	0	gfp	3	0	860860.0	860860.0	
221	4D-2	2	0	gfp	3	-1	929400.0	929400.0	
222	4D-2	2	0	rfp	1	0	1392300.0	1392300.0	
223	4D-2	2	0	rfp	1	-1			
224	4D-2	2	0	rfp	2	0	1590580.0	1590580.0	
225	4D-2	2	0	rfp	2	-1			
226	4D-2	2	0	rfp	3	0	1569280.0	1569280.0	
227	4D-2	2	0	rfp	3	-1	1855000.0	1855000.0	
228	4D-2	2	0	gfp-rfp	1	0	9380.0	9380.0	
229	4D-2	2	0	gfp-rfp	1	-1			
230	4D-2	2	0	gfp-rfp	2	0	11580.0	11580.0	
231	4D-2	2	0	gfp-rfp	2	-1			
232	4D-2	2	0	gfp-rfp	3	0	14660.0	14660.0	
233	4D-2	2	0	gfp-rfp	3	-1	1400.0	1400.0	
234	4D-2	2	0	total	1	0	2175080.0	2175080.0	
235	4D-2	2	0	total	1	-1			
236	4D-2	2	0	total	2	0	2470680.0	2470680.0	
237	4D-2	2	0	total	2	-1			
238	4D-2	2	0	total	3	0	2459460.0	2459460.0	
239	4D-2	2	0	total	3	-1	2787200.0	2787200.0	
240	4D-3	2	0	gfp	1	0	302120.0	302120.0	
241	4D-3	2	0	gfp	1	-1			
242	4D-3	2	0	gfp	2	0	376020.0	376020.0	
243	4D-3	2	0	gfp	2	-1			
244	4D-3	2	0	gfp	3	0	392460.0	392460.0	
245	4D-3	2	0	gfp	3	-1	476400.0	476400.0	
246	4D-3	2	0	rfp	1	0	1291920.0	1291920.0	
247	4D-3	2	0	rfp	1	-1			
248	4D-3	2	0	rfp	2	0	1636960.0	1636960.0	
249	4D-3	2	0	rfp	2	-1			
250	4D-3	2	0	rfp	3	0	1699360.0	1699360.0	
251	4D-3	2	0	rfp	3	-1	1926200.0	1926200.0	
252	4D-3	2	0	gfp-rfp	1	0	2980.0	2980.0	
253	4D-3	2	0	gfp-rfp	1	-1			
254	4D-3	2	0	gfp-rfp	2	0	5120.0	5120.0	
255	4D-3	2	0	gfp-rfp	2	-1			
256	4D-3	2	0	gfp-rfp	3	0	5720.0	5720.0	
257	4D-3	2	0	gfp-rfp	3	-1	800.0	800.0	
258	4D-3	2	0	total	1	0	1600000.0	1600000.0	
259	4D-3	2	0	total	1	-1			
260	4D-3	2	0	total	2	0	2023220.0	2023220.0	
261	4D-3	2	0	total	2	-1			
262	4D-3	2	0	total	3	0	2103260.0	2103260.0	
263	4D-3	2	0	total	3	-1	2404200.0	2404200.0	
264	4E-2	2	0	gfp	1	0	633260.0	633260.0	
265	4E-2	2	0	gfp	1	-1			
266	4E-2	2	0	gfp	2	0	692780.0	692780.0	
267	4E-2	2	0	gfp	2	-1			
268	4E-2	2	0	gfp	3	0	704520.0	704520.0	
269	4E-2	2	0	gfp	3	-1	791400.0	791400.0	
270	4E-2	2	0	rfp	1	0	1120900.0	1120900.0	
271	4E-2	2	0	rfp	1	-1			
272	4E-2	2	0	rfp	2	0	1197000.0	1197000.0	
273	4E-2	2	0	rfp	2	-1			
274	4E-2	2	0	rfp	3	0	1151120.0	1151120.0	
275	4E-2	2	0	rfp	3	-1	1385000.0	1385000.0	
276	4E-2	2	0	gfp-rfp	1	0	4700.0	4700.0	
277	4E-2	2	0	gfp-rfp	1	-1			
278	4E-2	2	0	gfp-rfp	2	0	5620.0	5620.0	
279	4E-2	2	0	gfp-rfp	2	-1			
280	4E-2	2	0	gfp-rfp	3	0	5980.0	5980.0	
281	4E-2	2	0	gfp-rfp	3	-1	1400.0	1400.0	
282	4E-2	2	0	total	1	0	1763560.0	1763560.0	
283	4E-2	2	0	total	1	-1			
284	4E-2	2	0	total	2	0	1901020.0	1901020.0	
285	4E-2	2	0	total	2	-1			
286	4E-2	2	0	total	3	0	1867600.0	1867600.0	
287	4E-2	2	0	total	3	-1	2179200.0	2179200.0	
288	4E-3	2	0	gfp	1	0	417980.0	417980.0	
289	4E-3	2	0	gfp	1	-1			
290	4E-3	2	0	gfp	2	0	446760.0	446760.0	
291	4E-3	2	0	gfp	2	-1			
292	4E-3	2	0	gfp	3	0	481340.0	481340.0	
293	4E-3	2	0	gfp	3	-1	487600.0	487600.0	
294	4E-3	2	0	rfp	1	0	1568340.0	1568340.0	
295	4E-3	2	0	rfp	1	-1			
296	4E-3	2	0	rfp	2	0	1644680.0	1644680.0	
297	4E-3	2	0	rfp	2	-1			
298	4E-3	2	0	rfp	3	0	1677200.0	1677200.0	
299	4E-3	2	0	rfp	3	-1	1778400.0	1778400.0	
300	4E-3	2	0	gfp-rfp	1	0	5120.0	5120.0	
301	4E-3	2	0	gfp-rfp	1	-1			
302	4E-3	2	0	gfp-rfp	2	0	5340.0	5340.0	
303	4E-3	2	0	gfp-rfp	2	-1			
304	4E-3	2	0	gfp-rfp	3	0	5740.0	5740.0	
305	4E-3	2	0	gfp-rfp	3	-1	2000.0	2000.0	
306	4E-3	2	0	total	1	0	1996560.0	1996560.0	
307	4E-3	2	0	total	1	-1			
308	4E-3	2	0	total	2	0	2102120.0	2102120.0	
309	4E-3	2	0	total	2	-1			
310	4E-3	2	0	total	3	0	2170020.0	2170020.0	
311	4E-3	2	0	total	3	-1	2270000.0	2270000.0	
312	8F-2	2	0	gfp	1	0	842260.0	842260.0	
313	8F-2	2	0	gfp	1	-1			
314	8F-2	2	0	gfp	2	0	838200.0	838200.0	
315	8F-2	2	0	gfp	2	-1			
316	8F-2	2	0	gfp	3	0	946000.0	946000.0	
317	8F-2	2	0	gfp	3	-1	993200.0	993200.0	
318	8F-2	2	0	rfp	1	0	1459080.0	1459080.0	
319	8F-2	2	0	rfp	1	-1			
320	8F-2	2	0	rfp	2	0	1461640.0	1461640.0	
321	8F-2	2	0	rfp	2	-1			
322	8F-2	2	0	rfp	3	0	1646240.0	1646240.0	
323	8F-2	2	0	rfp	3	-1	1766400.0	1766400.0	
324	8F-2	2	0	gfp-rfp	1	0	9940.0	9940.0	
325	8F-2	2	0	gfp-rfp	1	-1			
326	8F-2	2	0	gfp-rfp	2	0	10100.0	10100.0	
327	8F-2	2	0	gfp-rfp	2	-1			
328	8F-2	2	0	gfp-rfp	3	0	13040.0	13040.0	
329	8F-2	2	0	gfp-rfp	3	-1	2600.0	2600.0	
330	8F-2	2	0	total	1	0	2321220.0	2321220.0	
331	8F-2	2	0	total	1	-1			
332	8F-2	2	0	total	2	0	2320040.0	2320040.0	
333	8F-2	2	0	total	2	-1			
334	8F-2	2	0	total	3	0	2618320.0	2618320.0	
335	8F-2	2	0	total	3	-1	2764800.0	2764800.0	
336	8F-3	2	0	gfp	1	0	444120.0	444120.0	
337	8F-3	2	0	gfp	1	-1			
338	8F-3	2	0	gfp	2	0	461200.0	461200.0	
339	8F-3	2	0	gfp	2	-1			
340	8F-3	2	0	gfp	3	0	486920.0	486920.0	
341	8F-3	2	0	gfp	3	-1	586400.0	586400.0	
342	8F-3	2	0	rfp	1	0	1695160.0	1695160.0	
343	8F-3	2	0	rfp	1	-1			
344	8F-3	2	0	rfp	2	0	1711860.0	1711860.0	
345	8F-3	2	0	rfp	2	-1			
346	8F-3	2	0	rfp	3	0	1818040.0	1818040.0	
347	8F-3	2	0	rfp	3	-1	2047000.0	2047000.0	
348	8F-3	2	0	gfp-rfp	1	0	6380.0	6380.0	
349	8F-3	2	0	gfp-rfp	1	-1			
350	8F-3	2	0	gfp-rfp	2	0	6380.0	6380.0	
351	8F-3	2	0	gfp-rfp	2	-1			
352	8F-3	2	0	gfp-rfp	3	0	6800.0	6800.0	
353	8F-3	2	0	gfp-rfp	3	-1	1400.0	1400.0	
354	8F-3	2	0	total	1	0	2152040.0	2152040.0	
355	8F-3	2	0	total	1	-1			
356	8F-3	2	0	total	2	0	2185820.0	2185820.0	
357	8F-3	2	0	total	2	-1			
358	8F-3	2	0	total	3	0	2318560.0	2318560.0	
359	8F-3	2	0	total	3	-1	2636200.0	2636200.0	
360	WTctrl	2	0	gfp	1	0	537220.0	537220.0	
361	WTctrl	2	0	gfp	1	-1	647400.0	647400.0	
362	WTctrl	2	0	gfp	2	0	579720.0	579720.0	
363	WTctrl	2	0	gfp	2	-1	634600.0	634600.0	
364	WTctrl	2	0	gfp	3	0	576460.0	576460.0	
365	WTctrl	2	0	gfp	3	-1	654000.0	654000.0	
366	WTctrl	2	0	gfp	4	0	632180.0	632180.0	
367	WTctrl	2	0	gfp	4	-1	667200.0	667200.0	
368	WTctrl	2	0	gfp	5	0	661300.0	661300.0	
369	WTctrl	2	0	gfp	5	-1	634800.0	634800.0	
370	WTctrl	2	0	gfp	6	0	645560.0	645560.0	
371	WTctrl	2	0	gfp	6	-1	751400.0	751400.0	
372	WTctrl	2	0	gfp	7	0	693300.0	693300.0	
373	WTctrl	2	0	gfp	7	-1	710400.0	710400.0	
374	WTctrl	2	0	gfp	8	0	708720.0	708720.0	
375	WTctrl	2	0	gfp	8	-1	782600.0	782600.0	
376	WTctrl	2	0	total	1	0	537220.0	537220.0	
377	WTctrl	2	0	total	1	-1	647400.0	647400.0	
378	WTctrl	2	0	total	2	0	579720.0	579720.0	
379	WTctrl	2	0	total	2	-1	634600.0	634600.0	
380	WTctrl	2	0	total	3	0	576460.0	576460.0	
381	WTctrl	2	0	total	3	-1	654000.0	654000.0	
382	WTctrl	2	0	total	4	0	632180.0	632180.0	
383	WTctrl	2	0	total	4	-1	667200.0	667200.0	
384	WTctrl	2	0	total	5	0	661300.0	661300.0	
385	WTctrl	2	0	total	5	-1	634800.0	634800.0	
386	WTctrl	2	0	total	6	0	645560.0	645560.0	
387	WTctrl	2	0	total	6	-1	751400.0	751400.0	
388	WTctrl	2	0	total	7	0	693300.0	693300.0	
389	WTctrl	2	0	total	7	-1	710400.0	710400.0	
390	WTctrl	2	0	total	8	0	708720.0	708720.0	
391	WTctrl	2	0	total	8	-1	782600.0	782600.0	
392	2A-1	2	4	gfp	1	-2	254914000.0	254914000.0	
393	2A-1	2	4	gfp	1	-3			
394	2A-1	2	4	gfp	2	-2	197106000.0	197106000.0	
395	2A-1	2	4	gfp	2	-3			
396	2A-1	2	4	gfp	3	-2	216474000.0	216474000.0	
397	2A-1	2	4	gfp	3	-3	131300000.0	131300000.0	
398	2A-1	2	4	rfp	1	-2	87098000.0	87098000.0	
399	2A-1	2	4	rfp	1	-3			
400	2A-1	2	4	rfp	2	-2	65478000.0	65478000.0	
401	2A-1	2	4	rfp	2	-3			
402	2A-1	2	4	rfp	3	-2	71516000.0	71516000.0	
403	2A-1	2	4	rfp	3	-3	43380000.0	43380000.0	
404	2A-1	2	4	gfp-rfp	1	-2	1286000.0	1286000.0	
405	2A-1	2	4	gfp-rfp	1	-3			
406	2A-1	2	4	gfp-rfp	2	-2	950000.0	950000.0	
407	2A-1	2	4	gfp-rfp	2	-3			
408	2A-1	2	4	gfp-rfp	3	-2	1334000.0	1334000.0	
409	2A-1	2	4	gfp-rfp	3	-3	160000.0	160000.0	
410	2A-1	2	4	total	1	-2	344584000.0	344584000.0	
411	2A-1	2	4	total	1	-3			
412	2A-1	2	4	total	2	-2	264484000.0	264484000.0	
413	2A-1	2	4	total	2	-3			
414	2A-1	2	4	total	3	-2	290658000.0	290658000.0	
415	2A-1	2	4	total	3	-3	175000000.0	175000000.0	
416	2A-2	2	4	gfp	1	-2	145180000.0	145180000.0	
417	2A-2	2	4	gfp	1	-3			
418	2A-2	2	4	gfp	2	-2	115156000.0	115156000.0	
419	2A-2	2	4	gfp	2	-3			
420	2A-2	2	4	gfp	3	-2	148982000.0	148982000.0	
421	2A-2	2	4	gfp	3	-3	57300000.0	57300000.0	
422	2A-2	2	4	rfp	1	-2	157420000.0	157420000.0	
423	2A-2	2	4	rfp	1	-3			
424	2A-2	2	4	rfp	2	-2	122946000.0	122946000.0	
425	2A-2	2	4	rfp	2	-3			
426	2A-2	2	4	rfp	3	-2	157576000.0	157576000.0	
427	2A-2	2	4	rfp	3	-3	62580000.0	62580000.0	
428	2A-2	2	4	gfp-rfp	1	-2	1408000.0	1408000.0	
429	2A-2	2	4	gfp-rfp	1	-3			
430	2A-2	2	4	gfp-rfp	2	-2	846000.0	846000.0	
431	2A-2	2	4	gfp-rfp	2	-3			
432	2A-2	2	4	gfp-rfp	3	-2	1810000.0	1810000.0	
433	2A-2	2	4	gfp-rfp	3	-3	80000.0	80000.0	
434	2A-2	2	4	total	1	-2	305416000.0	305416000.0	
435	2A-2	2	4	total	1	-3			
436	2A-2	2	4	total	2	-2	239794000.0	239794000.0	
437	2A-2	2	4	total	2	-3			
438	2A-2	2	4	total	3	-2	310178000.0	310178000.0	
439	2A-2	2	4	total	3	-3	120040000.0	120040000.0	
440	2A-3	2	4	gfp	1	-2	90014000.0	90014000.0	
441	2A-3	2	4	gfp	1	-3			
442	2A-3	2	4	gfp	2	-2	69000000.0	69000000.0	
443	2A-3	2	4	gfp	2	-3			
444	2A-3	2	4	gfp	3	-2	68368000.0	68368000.0	
445	2A-3	2	4	gfp	3	-3	46040000.0	46040000.0	
446	2A-3	2	4	rfp	1	-2	220532000.0	220532000.0	
447	2A-3	2	4	rfp	1	-3			
448	2A-3	2	4	rfp	2	-2	163702000.0	163702000.0	
449	2A-3	2	4	rfp	2	-3			
450	2A-3	2	4	rfp	3	-2	161960000.0	161960000.0	
451	2A-3	2	4	rfp	3	-3	108260000.0	108260000.0	
452	2A-3	2	4	gfp-rfp	1	-2	852000.0	852000.0	
453	2A-3	2	4	gfp-rfp	1	-3			
454	2A-3	2	4	gfp-rfp	2	-2	530000.0	530000.0	
455	2A-3	2	4	gfp-rfp	2	-3			
456	2A-3	2	4	gfp-rfp	3	-2	696000.0	696000.0	
457	2A-3	2	4	gfp-rfp	3	-3	120000.0	120000.0	
458	2A-3	2	4	total	1	-2	312250000.0	312250000.0	
459	2A-3	2	4	total	1	-3			
460	2A-3	2	4	total	2	-2	233762000.0	233762000.0	
461	2A-3	2	4	total	2	-3			
462	2A-3	2	4	total	3	-2	231720000.0	231720000.0	
463	2A-3	2	4	total	3	-3	154540000.0	154540000.0	
464	2B-1	2	4	gfp	1	-2	382932000.0	382932000.0	
465	2B-1	2	4	gfp	1	-3			
466	2B-1	2	4	gfp	2	-2	256322000.0	256322000.0	
467	2B-1	2	4	gfp	2	-3			
468	2B-1	2	4	gfp	3	-2	272978000.0	272978000.0	
469	2B-1	2	4	gfp	3	-3	112880000.0	112880000.0	
470	2B-1	2	4	rfp	1	-2	70608000.0	70608000.0	
471	2B-1	2	4	rfp	1	-3			
472	2B-1	2	4	rfp	2	-2	46760000.0	46760000.0	
473	2B-1	2	4	rfp	2	-3			
474	2B-1	2	4	rfp	3	-2	48734000.0	48734000.0	
475	2B-1	2	4	rfp	3	-3	18860000.0	18860000.0	
476	2B-1	2	4	gfp-rfp	1	-2	934000.0	934000.0	
477	2B-1	2	4	gfp-rfp	1	-3			
478	2B-1	2	4	gfp-rfp	2	-2	520000.0	520000.0	
479	2B-1	2	4	gfp-rfp	2	-3			
480	2B-1	2	4	gfp-rfp	3	-2	762000.0	762000.0	
481	2B-1	2	4	gfp-rfp	3	-3	20000.0	20000.0	
482	2B-1	2	4	total	1	-2	455408000.0	455408000.0	
483	2B-1	2	4	total	1	-3			
484	2B-1	2	4	total	2	-2	304122000.0	304122000.0	
485	2B-1	2	4	total	2	-3			
486	2B-1	2	4	total	3	-2	323236000.0	323236000.0	
